sku_id,brand,shop_id,cate
32912,580,4003,8
13876,580,4003,8
15438,580,1276,8
19658,580,1276,8
5518,3258,2883,70
1584,1297,1437,31
639,1103,1804,31
341,1103,1804,31
9,334,1989,31
917,2346,4109,5
5369,1599,4647,5
916,903,3254,31
65,903,2514,31
117,903,2514,31
540,569,3056,5
1021,569,3056,5
1459,3018,1376,5
7075,803,4400,6
7913,803,1495,6
134,803,1913,6
8307,803,1841,6
826,803,1913,6
121,803,1913,6
24999,803,4400,6
149,903,2752,73
222,903,753,73
3063,2745,65,6
9645,1878,312,11
55,1065,2618,31
1505,1258,3423,10
10883,2346,2049,5
11365,2346,2049,5
7681,2346,2049,5
5502,1021,694,5
562,1076,798,5
4780,1555,3608,70
11852,78,4413,5
12986,3473,798,5
2038,78,4215,5
2642,78,4150,5
3122,1076,4215,5
29221,78,3774,5
2913,78,3774,5
126,78,4126,5
1200,78,977,5
473,903,753,10
5165,2755,4222,32
518,2755,4222,70
3296,2755,4222,32
1512,2755,4222,70
3213,1111,2984,61
293,1065,2618,49
166,429,747,23
28441,37,4382,72
6271,1307,1097,72
186,57,925,78
27376,1849,1831,73
24229,2361,557,67
1343,2751,1892,66
1320,3345,1794,66
3486,1586,653,66
1286,3160,1779,13
387,803,3574,19
10594,1600,2143,76
6717,834,2566,76
9222,803,3906,6
615,1912,1118,5
22090,2346,3703,5
1245,2386,2423,5
602,2346,792,5
3481,535,426,70
269,1266,1674,31
8211,1065,612,31
3431,2179,2109,31
1124,375,1490,5
3537,569,1072,5
27136,2378,2704,60
5191,1076,3774,5
16435,1076,3541,5
3778,3318,426,70
20983,95,1323,70
18440,2007,4290,70
1267,2333,2706,49
15694,803,1495,49
1006,803,1913,49
779,1065,2618,49
4098,1065,2618,49
26536,1669,3757,5
583,803,1913,73
885,803,1913,73
58,903,2514,73
3293,803,1913,73
1755,803,1913,73
19,803,1913,73
57,803,1913,73
22391,1058,1673,66
415,429,747,23
302,429,747,23
177,429,747,23
496,429,747,23
19125,465,1656,66
13166,703,3584,78
30287,3383,2134,78
20548,592,3452,66
24728,465,1656,66
7408,3383,2134,78
9199,1424,1717,78
12722,3653,3215,78
8902,465,1656,66
16742,2874,2312,64
13968,2874,2312,64
227,3524,2714,78
6069,2859,2183,78
12676,717,382,67
27791,2874,2312,64
11079,465,1656,66
25193,2683,494,21
19413,1319,2962,21
31550,1881,4657,21
532,803,1913,7
848,1677,4162,66
3830,2751,110,66
69,2751,1892,66
2743,1984,741,67
22749,78,1684,5
30670,78,2661,5
16645,78,4150,5
14196,78,1101,5
14628,78,1684,5
2391,400,4744,76
3811,209,4376,18
11584,1155,2423,76
12244,1155,2423,2
13258,8,3985,18
3164,3197,4580,46
4293,571,2428,21
954,813,1435,67
853,3630,368,10
4131,2076,64,73
33,1065,2618,31
868,1418,171,31
1937,1418,1033,31
1833,1297,1766,31
39,803,1495,31
729,803,1844,31
31,903,2514,31
5616,903,961,31
441,903,3254,31
119,803,1913,31
2875,803,1495,31
610,1065,2618,31
278,803,2867,73
1828,3234,3028,31
78,1076,509,5
198,1076,509,5
590,2346,4109,5
360,1076,4215,5
2585,1076,509,5
31303,984,4716,2
5549,1600,748,2
1796,803,1913,73
11906,803,1913,73
2970,781,1410,5
7783,1065,1699,31
1070,1065,2618,31
7658,1065,1699,31
18649,2738,2738,20
14609,3630,3839,17
12202,2813,4546,5
13085,2150,1381,46
8745,3483,1438,53
4477,3483,308,53
10358,3483,1923,53
20467,1076,509,5
3342,781,3796,5
2356,2065,1592,20
3127,1031,3997,20
1922,1031,219,20
2668,895,222,20
2630,429,3198,23
3540,811,876,31
3340,1065,4468,31
115,334,1989,31
5524,803,1913,31
827,803,1913,31
2243,179,1393,31
8104,2745,65,31
17,803,1913,31
7520,2189,1073,40
31962,2189,1073,40
29695,2189,1039,40
26709,2189,1073,40
3921,3630,368,60
43,3549,3889,31
951,803,2867,31
1332,3630,368,60
373,903,3254,31
3405,569,1410,5
4086,835,800,5
18513,569,3204,5
926,569,1072,5
21760,835,800,5
2583,569,3204,5
9633,569,1072,5
1328,569,1072,5
13700,292,1072,5
1794,835,2606,5
12775,569,1494,5
7772,569,3981,5
444,694,3309,53
2878,2745,107,6
7721,2745,107,6
3149,58,4697,6
155,2745,65,6
2342,1472,2189,50
2877,811,876,31
6282,3046,100,31
5394,811,876,31
1974,811,876,31
2125,811,876,31
28714,662,457,70
27512,662,1279,70
33483,662,457,70
10504,662,457,70
12970,1065,612,38
1850,140,1473,69
13298,2813,2804,5
6147,2813,4546,5
143,2813,1150,5
15860,3554,4643,21
939,803,1844,73
1060,903,2514,24
17171,2745,65,10
4398,903,2752,10
569,811,876,10
3216,811,2913,10
206,803,1913,10
260,3160,2273,16
1751,3160,1779,16
4105,3526,1576,12
10915,2464,682,12
8624,537,579,12
17141,3141,1818,12
1294,3526,1576,12
4195,2527,3707,67
6235,826,30,21
365,1858,335,5
9965,179,3249,31
8118,811,876,31
1284,2177,1000,22
3052,2876,4631,78
503,3079,2542,67
7841,3662,4785,79
9361,1436,2969,64
10271,1172,693,22
14502,569,1072,5
809,594,248,5
5545,549,3171,21
504,835,2424,5
9251,835,1003,5
618,1036,1307,5
934,1036,1307,5
417,1036,1307,5
834,1036,1307,5
1030,803,1913,6
1137,2745,65,6
17075,2745,107,6
13091,903,2514,6
15090,1065,638,6
7065,803,4400,6
2999,903,2514,6
11573,903,2514,6
19895,903,1479,6
15690,58,4697,6
2219,2745,65,6
2753,903,961,6
3625,1065,1668,6
4662,1868,2078,5
368,903,2514,6
1670,903,2752,6
151,803,1913,73
144,903,2514,24
265,803,1913,49
18640,1600,625,2
3437,1820,3138,76
1428,1600,2428,2
1473,1600,2428,76
1698,1600,2428,76
23938,2724,2647,39
9067,2724,2647,39
5364,2222,2872,46
68,3024,516,72
400,1293,1171,72
27673,1783,3666,70
29216,1046,3200,70
4585,1783,3666,70
1746,1783,3666,70
14430,1783,3666,70
33633,1783,3666,70
12210,1152,903,5
771,835,940,5
3245,2346,172,5
1277,2506,2621,5
624,1035,2371,5
1160,173,2262,5
24415,2351,3130,5
11803,1035,2371,5
6205,1035,2371,5
31428,1035,2371,5
17022,2813,3244,5
8176,896,4425,5
8179,2813,1643,5
9821,896,1188,5
30489,896,1718,5
10563,896,1188,5
25859,2813,1995,5
17725,2813,1643,5
31066,896,847,5
12758,896,3119,5
4343,2813,1150,5
21138,896,847,5
17935,2813,4215,5
17424,896,3119,5
13487,896,847,5
20254,579,1232,8
8821,2813,3244,5
29135,896,3119,5
19408,896,2993,5
22363,2813,1670,5
665,291,3577,7
1625,1076,509,5
6662,1076,509,5
788,3549,3889,38
174,1046,834,70
11671,2563,3465,53
1201,1028,1944,53
22681,3662,4785,79
9979,3079,2542,67
10359,3079,2542,67
